Modismo;Definición Sonar;Definiciones Reales;Acorde;;
jerrequejere;Interjección coloquial usada para expresar burla, sorna o incredulidad ante algo ridículo o exagerado.;desorden, barullo | broma, chanza;0;;
batería;Conjunto de amigos o compañeros del barrio con quienes se comparte tiempo, planes y actividades habituales.;conjunto de utensilios destinados a la fabricación de miel o panela;0;;
jetabulario;Conjunto de palabras y expresiones coloquiales propias de la jerga juvenil o popular colombiana, usado como repertorio lingüístico identificador de un grupo social.;vocabulario soez;0;;
agripado;Persona con gripe o síntomas gripales.;Referido a una persona, enferma de gripa. | aquejado de gripa;1;;
embaldosinado;Persona que aparenta pulcritud, formalidad o corrección exterior pero actúa con rigidez, afectación o poca naturalidad.;Suelo cubierto con losas o baldosines. | Acción de revestir las paredes o piso con baldosines.;0;;
barcino;Adjetivo que describe a un animal cuyo pelaje combina colores —usualmente blanco y pardo— formando manchas o rayas atigradas.;Árbol de hasta 20 m de altura, de hojas simples opuestas, con flores blancas en racimo, frutos redondos y cuya madera es usada para la construcción.;0;;
runchera;Lugar, cosa o ambiente de mal gusto, deteriorado o vulgar.;lugar deteriorado, en malas condiciones;1;;
macuco;Persona robusta, corpulenta o grandullona.;Referido a una persona, de cuerpo grueso, formas toscas y baja estatura.;1;;
gripa;En Colombia, enfermedad respiratoria leve caracterizada por congestión, estornudos y malestar general similar al resfriado común.;Gripe, enfermedad infecciosa que se presenta con tos, fiebre, ojos llorosos, dolor de cabeza y congestión respiratoria. | enfermedad infecciosa que produce congestión nasal, tos y, en algunos casos, fiebre;1;;
chatas;Corte de carne de res fino, de buena calidad, pulpa y blando.;Corte de carne del costillar de la res, usado principalmente para asar. | carne del costillaje de la res;1;;
vena;Punto exacto para complacer a alguien con lo que desea.;Acertar logrando la complacencia de alguien.;1;;
calilla;Persona intensa o fastidiosa que insiste o molesta de manera persistente.;Tabaco largo y delgado. | cigarro largo, delgado y de mala clase;0;;
potrero;Terreno cercado que generalmente se encuentra sin edificar.;Lote de terreno sembrado de pasto cercado, en el que se pastorea y resguarda el ganado. | Terreno que no está edificado.;1;;
recreo;Separación temporal del compañero o compañera con quien se convive de manera permanente.;Embarcación de gran tamaño que navega por el río Amazonas y que permite colgar gran número de hamacas en su cubierta para el descanso de los pasajeros.;0;;
tener res amarrada;Mantener una relación amorosa o sexual oculta y asegurada con alguien.;tener un compromiso amoroso oculto;1;;
alcanzado;Persona con poco dinero para cumplir sus obligaciones.;Referido a una persona, que cuenta con poco dinero para cumplir sus obligaciones.;1;;
cosquillero;Persona hábil y astuta que distrae o toca a otros en lugares concurridos para robarles sin que se den cuenta.;Ladrón que viaja en los buses y roba a los pasajeros sin que ellos ni siquiera lo noten.;1;;
martingala;Trampa o engaño para conseguir un objetivo con astucia.;correa que forma parte del apero de un caballo;0;;
chitearse;Agrietarse o resquebrajarse, aplicado a paredes, vasijas u objetos que se rompen formando fisuras.;dicho de una pared o una vasija, agrietarse, resquebrajarse | Quebrarse o agrietarse una cosa.;1;;
comino;Expresión que indica indiferencia o falta absoluta de importancia hacia algo o alguien.;Árbol de clima templado o frío, de madera muy usada por su resistencia y aroma.;0;;
galludo;Persona codiciosa, avariciosa y ambiciosa que busca acaparar todos los beneficios sin compartirlos.;Referido a un tarea, que presenta mucha dificultad en su elaboración.;0;;
encargar;Objeto robado porque alguien lo ha solicitado previamente para comprarlo.;Referido a una mujer, quedar embarazada. | Concebir un hijo. | dicho de una mujer, quedar embarazada;0;;
sabaleta;Pez de río colombiano de hasta 43 cm de longitud, cuerpo oblongo y escamoso, plateado con lomo oscuro y mancha en la cola, de carne apreciada.;Pez de agua dulce, de hasta 43 cm de longitud, de cuerpo alargado y escamoso, color plateado con el lomo oscuro, de carne muy apreciada.;1;;
demorar;Tardar en realizar o completar una acción, causando dilación respecto al tiempo esperado.;Tardar mucho tiempo haciendo una actividad. | Retrasarse.;1;;
copera;Mujer que atiende clientes en bares o locales nocturnos y acompaña para incentivar el consumo de bebidas.;empleada que sirve a los clientes en bares y cafés | Mujer que trabaja en bares y sitios nocturnos sirviendo las copas de licor.;1;;
aguanga;Telar indígena rústico utilizado en Colombia.;telar indígena antiquísimo, posiblemente de procedencia incaica;1;;
musaraña;Gesto o mueca que se hace con el rostro.;Mamífero de 6.50 a 8.5 cm de largo sin contar la cola, con ojos y orejas muy pequeños y dientes color rojizo. | mueca y gestos que se hacen con la cara y las manos, casi siempre por burla;0;;
esténcil;Plantilla perforada para reproducir imágenes o textos mediante aplicación de pintura en superficies.;Nombre que recibe esta técnica. | Plantilla recortada que dibuja siluetas de figuras, números o letras, las cuales, con un instrumento adecuado, se estampan sobre una superficie.;1;;
bao;En Colombia, 'bao' es expresión coloquial para referirse al pene.;Vapor que exhalan las personas o animales cuando hay temperaturas bajas en el ambiente.;0;;
gaznapatada;Término coloquial usado en algunas regiones para aludir a una bofetada o golpe dado con la mano abierta en la cara.;Golpe que se da con el pie en la mejilla de una persona.;0;;
butatón;Persona muy borracha que ha perdido el control de sus facultades.;Hinchazón que se produce al golpearse en alguna parte del cuerpo.;0;;
antojado;Estado pasajero de tener ganas intensas y repentinas de algo concreto, especialmente de comer o conseguir algo deseado.;Referido a una persona, que tiene antojos con frecuencia.;1;;
embocarse;Encontrarse de manera imprevista con una persona, cosa o situación, o dar con la solución adecuada por azar.;Encontrar la mejor solución o acertar en algo. | encontrarse inesperadamente con una cosa, situación o persona;1;;
junco;Persona delgada, alta y de aspecto frágil, que también puede implicar timidez o poca fortaleza física.;Grupo de plantas endémicas de altura media, tallos cilíndricos largos y hojas lanceoladas que crecen en zonas húmedas y se usan en la fabricación de artesanías. | Especia de cama hecha de estera.;0;;
chumbo;Término coloquial usado en varias regiones de Colombia para describir un fruto o producto mal maduro, duro y de mal sabor.;Pavo. | pavo | dicho de una res, estrecha de caderas;0;;
secador;Paño para secar la vajilla.;Pedazo de tela que se emplea en la cocina para secar o limpiar.;1;;
ruyas;Prenda de vestir tradicional antioqueña similar a un poncho rectangular de lana o algodón usada por campesinos.;pequeños rollos de harina de maíz, con los que se hace sopa;0;;
radioemisora;"No es un modismo ni expresión idiomática colombiana; se refiere literalmente a una estación de radio.";Emisora que transmite contenidos de radio.;1;;
quicha;Tetas o senos de las mujeres.;Prostituta. | diarrea;0;;
pegotudo;Cosa de aspecto apelmazado y pegajoso.;Que es espeso y pegajoso.;1;;
benjamín;Persona más joven de un grupo o familia, habitualmente considerada la menor y a veces la más protegida o mimada.;Aparato con una rosca metálica en uno de sus extremos que se acopla a una roseta y sirve para conectar dos enchufes.;0;;
dinero;Billete de mil pesos colombianos.;Dinero conseguido de manera ilegal.;0;;
cachacero;Persona nacida en Bogotá o proveniente de familias tradicionales de esa ciudad, caracterizada por su elegancia, dicción refinada y comportamiento distinguido.;Personaje característico de las cuadrillas de San Martín que viste un disfraz elaborado con pieles, cornamentas y otros materiales y que representa a los negros en el periodo de la Conquista. | Referido a una persona, que consume frecuentemenete cachaza u otras bebidas embriagantes. | Referido a una persona, que se dedica a la venta de bebidas embriagantes, especialmente de cachaza.;0;;
sumercé;Tratamiento tradicional de cortesía y respeto usado en Colombia, hoy empleado informalmente para mostrar amabilidad o afecto al dirigirse a otra persona.;forma de tratamiento empleada como expresión cariñosa y respetuosa, especialmente con la familia | Forma de tratamiento, segunda persona del singular, que expresa respeto y afecto.;1;;
caficultura;Actividad agrícola dedicada al cultivo, manejo y producción del café en sus distintas etapas desde la siembra hasta la cosecha.;Cultivo y procesamiento del café.;1;;
hacerle la tiradera;Burla verbal con la que se ridiculiza o mortifica a alguien mediante indirectas, ironía o ataques ingeniosos.;burlarse;1;;
descachalandrarse;Adoptar un aspecto o apariencia descuidada y desaliñada en la vestimenta o arreglo personal.;descuidarse en el vestido y aspecto personal;1;;
cocotera;Persona que mira con descaro o curiosidad indiscreta.;peineta arqueada para sujetar el cabello por delante a manera de diadema;0;;
distinguir;Actuar con fineza o elegancia social para destacar buen gusto o comportamiento en un contexto determinado.;Conocer una persona. | conocer a una persona;0;;
saltar matones;Estar en apuros o grandes dificultades, especialmente económicas.;estar en apuros o en grandes dificultades, especialmente de carácter económico;1;;
calabazo;"Golpe fuerte recibido por caída o choque; en uso coloquial, experiencia adversa o desaprobación contundente.";Recipiente de uso doméstico hecho del fruto del totumo para guardar diferentes alimentos o cargar líquidos. | Tonto, bobo, sin gracia. | Cabeza de una persona. | cabeza | tonto, bobo;0;;
llanero;Persona natural de los Llanos Orientales de Colombia, hábil jinete y ganadero caracterizado por su valentía y cultura mestiza.;Relacionado con los Llanos orientales colombianos. | Persona que se encarga del ganado en el llano o la sabana.;1;;
miado;Equivocado o fuera de lugar.;Planta silvestre medicinal que sirve para baños en caso de gripa y para relajar el cuerpo. | Persona de poca inteligencia.;0;;
machetear;Usar el machete para cortar maleza, rastrojo o leña en labores rurales.;Realizar un trabajo sin cuidado y esmero, por lo general, reduciéndolo considerablemente.;0;;
decol;Líquido de protección industrial utilizado como limpiador y blanqueador en Colombia.;Líquido usado como limpiador y blanqueador.;1;;
mecha;En el Caribe colombiano, estopa del trapeador o ropa elegante para salir.;En el tejo, triángulo pequeño relleno de pólvora sobre el bocín, que estalla al ser golpeado por el jugador de tejo. | en el juego de tejo, triángulo con pólvora que se coloca sobre el bocín para que estalle cuando lo golpea el tejo | utensilio de aseo para limpiar el piso que consta de un palo y tiras de de lana o tela en su parte inferior | cabello, especialmente cuando está desordenado | Cabello desordenado. | Utensilio doméstico que consta de un mango largo y un manojo de tiras absorbentes en el extremo. | Vestimenta de una persona.;1;;
onceadero;Salón de onces.;salón de onces;1;;
estudiado;Persona muy inteligente, astuta o hábil para resolver situaciones con rapidez y eficacia.;Referido a una persona, culta e instruída sobre diversos temas.;1;;
panderito;Panecillo pequeño y tradicional hecho con almidón de yuca, claras de huevo y azúcar, típico en la gastronomía colombiana.;Panecillo de forma redonda o alargada que se prepara con almidón de yuca, leche, azúcar y huevo.;1;;
vaca;Reunión de dinero entre varias personas para costear algo en común.;Ser una persona presumida en exceso, que aparenta o finge lo que no es. | Manatí del amazonas, de cuerpo grueso de hasta 2,5 m de longitud, de color gris obscuro con manchas claras en su vientre. | Recolectar dinero entre varias personas para utilizarlo en un gasto común. | Estar una persona muy gorda.;1;;
bacao;Forma coloquial de 'bacano', adjetivo que califica algo excelente, divertido o de gran calidad.;Variedad del árbol del cacao, de hasta 12 m de altura, hoja oblonga alargada, inflorescencia roja de pétalos largos, y fruto comestible. | Fruto de este árbol, de forma ovoide y de hasta 20 cm de largo, de cáscara leñosa de color amarillo al madurar, de semillas grandes y cubiertas de pulpa blanca, dulce y comestible.;0;;
desvirolado;Persona que ha perdido el juicio o está abstraída y despistada.;chiflado | desorientado, distraído;1;;
zangolotear;Mover o sacudir algo o a alguien de un lado a otro con violencia o sin concierto, o balancearse repetidamente al caminar.;Menear algo o alguien de un lado a otro con violencia.;1;;
catiro;Persona de piel clara, cabello rubio y ojos claros, generalmente de mezcla entre blanco y mulato.;que tiene el cabello rubio | Referido a una persona, que tiene el cabello rubio.;1;;
septimazo;Paseo tradicional por la Carrera Séptima de Bogotá, emblemática por su diversidad cultural, histórica y de entretenimiento callejero.;Salir a caminar o a divertirse a la carrera séptima en la parte del centro de Bogotá.;1;;
asistente;Persona que presta ayuda o apoyo en tareas específicas, facilitando el cumplimiento de funciones o servicios.;persona que ayuda a otra en un cargo u oficio;1;;
blanco;Persona muy atractiva físicamente.;persona adinerada y de clase alta, sin importar el color de la piel;0;;
botilito;Recipiente pequeño, generalmente de plástico, que se usa para transportar líquidos.;Recipiente pequeño, generalmente de plástico, que se usa para transportar líquidos.;1;;
espuela;En Colombia, llamada coloquialmente a la experiencia, habilidad o cancha que tiene una persona en determinada actividad.;calcañar con callo o con alguna infección purulenta | Pequeño hueso saliente y curvo que poseen algunas aves en la parte baja de sus patas.;0;;
arrastrar;Galanteo que generalmente hace el hombre a la mujer para pretenderla.;En algunos juegos, coger una carta o una ficha de un montón.;0;;
prenda;Persona muy querida o entrañable.;Pieza hecha en metal valioso y con piedras preciosas, que se usa como adorno.;0;;
atarrosarse;Emborracharse excesivamente hasta perder el control.;Confundirse o sorprenderse ante algo inesperado.;0;;
cusumbo;Mamífero neotropical similar al coatí, de hocico largo y cola anillada, conocido en Colombia por su hábito de vivir en grupos y por su aspecto de pequeño prociónido.;Mamífero americano de hasta 67 cm de longitud, cabeza alargada, hocico muy estrecho y largo, orejas cortas y redondeadas, y pelaje espeso con anillos rojizos y negros.;1;;
moyón;Término coloquial usado en algunas regiones de Colombia para denotar a una persona de mal gusto, ordinaria o desagradable en su comportamiento o apariencia.;Caneca o vasija de barro rústico en donde se depositan pequeñas piezas de barro con el objeto de cocerlas en el horno, como parte de su proceso de fabricación.;0;;
escobita;"Persona que limpia calles o espacios públicos realizando labores de barrido; en algunos contextos coloquiales, trabajador de limpieza urbana.";Persona cuyo trabajo consiste en barrer las calles de la ciudad.;1;;
pispirispi;Actividad o empeño inútil y fantasioso que alguien persigue con dedicación aparente pero sin resultados concretos.;Truco o maña.;0;;
atrapamoscas;Persona boba o de escasa inteligencia.;Ave pequeña de casi 20 cm, de color verde oliva y cabeza café, pecho blanco y pico negro, que habita en los bosques del oriente antioqueño.;0;;
beber como una guapucha;Consumir alcohol en exceso y con desenfreno hasta perder el control.;beber mucho;1;;
culimbo;Persona simple, insignificante o que actúa como niño pequeño de corta edad.;equivocado | simple, insignificante | dicho del gallo o gallina, de poca cola o sin ella | de trasero levantado, de nalgas gruesas | niño de corta edad | Referido a un ave de corral, que no tiene cola. | Persona muy joven.;0;;
uvita;En buen estado o como nuevo.;Arbusto de hasta 8 m de altura, de copa redondeada, hojas grandes, flores en racimos de color blanco, fruto pequeño y morado cuando está maduro y que se consume en dulces y refescos.;0;;
lonche;Almuerzo que se lleva a la oficina o al trabajo para comer al mediodía.;agasajo infantil, generalmente para celebrar un cumpleaños;0;;
canguro;Bolso pequeño o riñonera que se lleva ceñido a la cintura para guardar objetos personales.;Bolso deportivo hecho de tela o cuero, que se cuelga a la cintura.;1;;
funda;Expresión coloquial usada para enfatizar una negativa rotunda o la imposibilidad de que algo ocurra.;Por ningún motivo.;1;;
achante;Estado de desánimo, decaimiento y aburrimiento que impide realizar actividades.;Depresión, abatimiento. | Sensación de humillación.;1;;
calentado;Plato casero preparado con sobras del día anterior que se recalentaban y servían generalmente en el desayuno, mezclando arroz, frijoles y otros acompañamientos.;plato de alimentos del día anterior que ha sido recalentado y que se suele comer especialmente en el desayuno en picadillo | Plato que se elabora con algunos alimentos del día anterior que se pican, se aderezan y se recalientan, especialmente para el desayuno.;1;;
despernancarse;Caerse abriéndose de piernas.;sentarse con las piernas muy separadas;0;;
colero;Persona o equipo que ocupa el último puesto en una clasificación.;Referido a un equipo o a un jugador, que va en el último lugar de una competencia o de una clasificación.;1;;
tucupí;Salsa amazónica oscura, densa, entre ácida y dulce, elaborada a partir del jugo de la yuca brava.;Condimento líquido elaborado con el jugo cocinado de la yuca brava, ají, aliños y hormiga bachaco.;1;;
poco;Cantidad insuficiente o mínima.;Gran cantidad.;0;;
purina;Droga, especialmente heroína, utilizada coloquialmente en algunas regiones de habla hispana.;Referido a una persona, estéril.;0;;
balancear;Equilibrar o ponderar dos o más aspectos opuestos.;Equilibrar la rotación de las llantas de un vehículo.;0;;
alcaraván;Ave zancuda de plumaje parduzco y canto estridente, frecuente en sabanas y zonas húmedas de América del Sur.;"Ave zancuda y corredora de hasta 46 cm de longitud, de patas largas, dorso y parte superior de la cabeza café claro moteado de blanco, garganta y vientre blancos, cabeza con ojos muy grandes y amarillos con cejas blancas bordeadas por una raya negra y pico corto; propia de las zonas bajas y arenosas de los Llanos y la Costa Caribe.";1;;
siringuero;Trabajador que se encarga de extraer látex o caucho de los árboles siringas mediante incisiones.;Relativo a la extracción del caucho. | Persona que tiene por oficio la extracción del caucho.;1;;
popó;Excremento humano.;Excremento humano o animal. | excremento;1;;
tiro;"Golpe, acción o intento rápido; en jerga colombiana también usada para referirse a un momento, oportunidad o manera de hacer algo de forma ágil.";Refrán, dicho o expresión jocosa.;0;;
quejereque;Reclamo insistente y generalmente fastidioso expresado de forma verbal y repetitiva.;que se queja por todo;1;;
porrista;"Persona que anima y motiva a un equipo o público en eventos deportivos mediante cánticos, coreografías y movimientos; practicante de porrismo o cheerleading.";En los espectáculos deportivos, jóvenes que llevan pompones, danzan y realizan movimientos gimnásticos, animando a un equipo y a los espectadores.;1;;
miquear;Hacer piruetas y dar saltos como los micos, especialmente dicho de niños.;Dar saltos, ir de un lado a otro permanentemente, hacer piruetas, especialmente los niños.;1;;
fría;Cerveza servida fría, bebida alcohólica preparada para consumo inmediato.;Cerveza.;1;;
trapero;Persona que recoge, compra o vende trapos y otros desechos textiles para reciclarlos o comerciarlos, o utensilio compuesto de trapos usado para fregar pisos.;Utensilio doméstico que consta de un mango largo y un manojo de tiras absorbentes en el extremo. | utensilio de aseo para limpiar el piso que consta de un palo y tiras de lana o tela en su parte inferior;0;;
mamado;Estado de fatiga extrema física o mental por esfuerzo intenso.;Referido a una persona, cansada o aburrida de algo. | Referido a una persona, cansada por haber realizado un esfuerzo físico o mental. | embriagado | cansado, fatigado | aburrido, cansado de algo;1;;
cacharro;Objeto viejo o en mal estado, o anécdota o suceso inesperado y a menudo divertido, usado coloquialmente en Colombia.;acontecimiento | Automóvil viejo, deteriorado y que funciona mal. | automóvil viejo y destartalado | Acontecimiento especial o gracioso digno de ser contado como anécdota.;0;;
melega;Mujer sirvienta, empleada doméstica, término despectivo en Colombia.;Empleada del servicio doméstico.;1;;
apenado;Persona avergonzada.;Referido a una persona, que siente vergüenza por algo. | avergonzado;1;;
atorarse;Atragantarse al comer o beber.;Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.;1;;
desgonzado;Agotado y carente de fuerzas físicas.;decaído, sin ánimo;1;;
conversón;Persona que habla mucho y de manera trivial o sin sustancia, mostrando hablaridad excesiva.;persona locuaz, habladora y en algunos casos chismosa;1;;
cesante;Persona que ha quedado sin empleo o que ha cesado en su cargo y se encuentra desocupada.;Persona que ha quedado desempleada de forma forzosa.;1;;
zamarros;Pantalones de cuero usados por jinetes para protegerse al montar, especialmente en regiones andinas de Colombia.;Pantalones de cuero con abertura atrás que se usan para montar a caballo.;1;;
arroz;Persona que mantiene una relación romántica a fuego lento con paciencia y sutileza para evitar quemarla o enfriarla.;Especie de arroz acuoso que lleva piangua, calamar y pescado de mar. | Plato preparado con arroz, verduras, papa, carne de res, pollo, cerdo y algunas leguminosas. | Plato preparado con arroz, grasa o leche de coco, sal y azúcar. | Ronda infantil en la que los niños forman un círculo cantando una canción mientras uno de ellos gira en sentido contrario para señalar quién desea que lo reemplace. | En abundancia.;0;;
entusado;Persona entristecida y melancólica por una relación sentimental acabada.;Referido a una persona, que está triste y melancólica por haber peleado o terminado con su pareja.;1;;
remudar;Cambiar algo por otra cosa.;En la arriería, reemplazar una mula enferma o muerta por otra.;0;;
principio;Inicio o comienzo de algo.;alimento que se sirve junto con el arroz, carne y papa, por ejemplo, habichuelas, frijoles, alverjas o lentejas | Cocción de granos como alverja, lenteja o garbanzo, que acompaña el seco.;0;;
dominguero;Persona que acostumbra salir a divertirse o descansar solo los domingos o días festivos, o algo propio del domingo.;Referido a la ropa, formal, elegante que se usa en ocasiones especiales.;0;;
prender;Encender un aparato o luz, o comenzar a funcionar algo de forma inmediata.;dicho de una persona, embriagarse ligeramente | encender, poner en funcionamiento algo, como un carro, la luz, etc | Contagiar una enfermedad de una persona a otra, generalmente tos, gripa o una enfermedad de transmisión sexual. | Encender un aparato electrónico o electrodoméstico. | Encender el motor de un vehículo. | Animar una persona o algo una fiesta, reunión o evento. | Encontrarse alguien ligeramente borracho. | Irse a los golpes, pelearse.;1;;
cuido;Actitud de vigilancia o atención para proteger algo o a alguien, manteniendo cuidado y precaución en su manejo.;alimento | caballeriza, establo o pesebrera;0;;
reato;Término coloquial usado en algunas regiones de Colombia para describir una pelea, riña o problema fuerte entre personas.;escrúpulo;0;;
maduraverde;Persona que soporta con paciencia todo tipo de dificultades para alcanzar sus metas.;Árbol que alcanza los 30 m de altura, tronco con corteza grisácea que presenta un látex blanco sin sabor, hojas moradas helicoidales al madurar se tornan verde amarillento, baya redonda comestible, de uso maderable y medicinal. | Baya redonda de color morado, de consistencia carnosa que contiene de 3 a 10 semillas.;0;;
ja;Muletilla coloquial costeña equivalente a 'joda', usada para iniciar una conversación sin significado específico.;voz con que se ahuyenta las reses y se anima a que caminen los bueyes de carga;0;;
mano;Término coloquial usado en Colombia para dirigirse de manera familiar a otra persona cercana o para llamar la atención de alguien en conversación.;voz abreviada de | Sobornar a alguien. | Referido a un objeto, dejar de funcionar. | Referido a una pelea, sin utilizar guantes. | Adoptar actitudes y medidas rigurosas. | Excederse, exagerar al hacer algo. | Conjunto de varios plátanos agrupados en el mismo racimo. | Dar garantía de las cualidades y las habilidades de una persona ante los demás. | Dar dinero | Gran cantidad.;0;;
maicero;Habitante del departamento de Antioquia, caracterizado por su preferencia por el maíz como alimento principal.;Relativo a la región de Antioquia.;1;;
chitos;Expresión utilizada en Colombia para ordenar silencio o callar.;Aperitivo ligero, salado y crujiente, en forma de medialuna pequeña.;0;;
chispero;Herrero que realiza obras menudas y gruesas.;Conjunto de chispas que salpican sobre una superficie.;0;;
chicoria;Término coloquial colombiano que designa a una persona de baja estatura de manera informal y festiva.;Hierba de América tropical, de hasta 60 cm de altura, hojas lanceoladas de borde dentado, flores pequeñas y blancas, y que es usada como condimento y en la medicina tradicional.;0;;
minear;Molestar o fastidiar a alguien de manera intencional.;Extraer minerales, generalmente oro y platino.;0;;
garra;Término coloquial usado en Colombia para describir a una persona de poca clase o maleducada, mostrando desaliño o descaro.;persona flaca y envejecida | pedazo de cuero endurecido y arrugado | Piel de bovino, dura y arrugada. | Piel del cerdo con la que se preparan algunas comidas. | Zapato viejo y desgastado. | Tipo de galleta hojaldrada, de forma alargada con orificios simulando al instrumento musical, rellena de bocadillo o arequipe. | Mujer fea. | piel del cerdo que se usa para preparar platos típicos | Persona o animal, flaco y desgastado.;0;;
mocho;Persona o animal que carece de algún miembro o parte de él.;Referido a una persona o a un animal, que le falta un miembro del cuerpo o una parte de él. | manco | falto de un miembro o parte de él | caballo | herramienta desgastada;1;;
corral;Lugar o conjunto donde se agrupa gente, objetos o animales, generalmente pequeño y cerrado, usado coloquialmente para señalar un sitio concurrido o amontonado.;Especie de armazón rodeado por una malla y con el suelo acolchado, en el que se suele dejar a los niños que aún no caminan, para que jueguen.;0;;
dígame;Respuesta cortés o afirmativa usada para mostrar atención, acuerdo o disposición a escuchar al interlocutor.;denota que algo que se pregunta es evidente;1;;
uva;Persona mayor o mujer de edad avanzada, empleada coloquialmente en algunas regiones de Colombia.;Muy bien. | Arbusto de hasta 8 m de altura, de copa redondeada, hojas grandes, flores en racimos de color blanco, fruto pequeño y morado cuando está maduro y que se consume en dulces y refescos.;0;;
cacorrada;Trivialidad o tontería.;acción propia del cacorro | trivialidad, tontería;1;;
chamón;Ave de plumaje oscuro, similar a un tordo o mirlo, común en diferentes regiones de Colombia.;Ave de cuerpo negro en los machos y en las hembras, grisáceo, de pico corto cónico, recoge el alimento del suelo y no construye sus nidos.;1;;
tegua;Persona que ejerce prácticas curativas sin ser médico, generalmente con métodos de medicina natural.;Persona que sin ser profesional de las ciencias médicas, practica procedimientos curativos, aprendidos de manera empírica. | Persona que no tiene los conocimientos necesarios para realizar bien un trabajo. | Persona que se dedica al tratamiento de enfermos a través de prácticas curativas de la medicina tradicional o natural.;1;;
borrachero;Planta del género Brugmansia con flores grandes y alcaloides potentes, asociada en Colombia a usos tradicionales y a la obtención de escopolamina.;Arbusto de más de hasta 3 m de altura con hojas aovadas, grandes flores colgantes en forma de trompeta de color blanco o rojo y muy fragantes, su fruto porta innumerables semillas ricas en alcaloides y se emplea como alucinógeno.;1;;
matachinado;Vestido con ropas de colores muy vivos y llamativos, especialmente de manera ostentosa.;Referido a alguien o a algo, que lleva colores fuertes, llamativos que no combinan bien.;1;;
vikingo;Bebida gaseosa o agua saborizada, especialmente usada de forma coloquial para referirse a refrescos dulces.;Jugo de fruta congelado que se vende en bolsas plásticas pequeñas.;0;;
ponqué;Bizcocho esponjoso de textura suave preparado con huevos, harina y azúcar, recubierto de crema dulce.;Masa de harina horneada, grande, generalmente redonda y decorada, que se rellena de crema, frutas u otros ingredientes.;1;;
chapola;Plántula de cafeto recién germinada y lista para trasplantar.;Mariposa. | Planta de café cuando le salen las primeras hojas. | mariposa | planta del cafeto cuando tiene las dos primeras hojas;0;;
dulzaina;Instrumento musical de viento similar a la armónica que se sopla con la boca.;Instrumento musical de viento, compuesto por una serie de orificios con lengüeta que se toca soplando o aspirando a través de ellos.;1;;
estartazo;Impulso inicial o arranque brusco, especialmente de un vehículo o de una acción repentina.;reacción ante una sorpresa | impulso inicial, arranque;1;;
basquetbolista;Persona que practica o se dedica profesionalmente al baloncesto.;Persona que juega básquetbol.;1;;
michicato;Persona tacaña o cicatera que escatima dinero o recursos.;Referido a una persona, que es tacaña. | cicatero, tacaño;1;;
chequear;Verificar o revisar algo para confirmar su estado, exactitud o funcionamiento.;Referido al equipaje, registrarlo para que sea llevado al avión. | Vigilar a alguien.;1;;
corrector;Persona encargada de revisar y corregir la ortografía, gramática y estilo de un texto antes de su publicación.;Implemento de escritorio cuyo contenido es un líquido blanco y espeso que al secarse sobre el papel cubre el contenido escrito que se desea borrar.;0;;
gaja;Racimo de plátanos o bananos unidos por un extremo.;gajo de plátanos adheridos que forman parte de un racimo;1;;
regio;Calificativo coloquial usado en Colombia para describir algo o alguien muy bueno, lindo o de notable calidad.;Estupendo, muy bien. | Se usa para expresar que se acepta una propuesta.;0;;
primo;Forma coloquial en la costa caribe colombiana para referirse a un amigo o hermano cercano.;Forma de tratamiento usada entre amigos o compañeros.;1;;
zorrero;Conductor del vehículo conocido como 'zorra' (carro de carga o transporte urbano popular), usado de forma coloquial y a veces despectiva en Colombia.;Persona que maneja una zorra.;1;;
arepazo;Golpe dado con la mano abierta, especialmente en la cara, usado coloquialmente en algunas regiones de Colombia.;chiripa, golpe de suerte | palmada | Logro que se obtiene de manera fortuita.;1;;
maganza;Actitud de pereza u holgazanería caracterizada por la falta de disposición para trabajar o realizar actividades.;pachorra, ociosidad;1;;
concha;Pereza, descaro y abandono de las obligaciones.;Descaro, desfachatez, falta de vergüenza. | Corteza de las frutas o de los árboles. | desfachatez, frescura, falta de vergüenza | corteza de los árboles o las frutas;1;;
bastonero;Persona que encabeza o dirige un grupo en desfiles o bandas de música llevando un bastón, o quien confecciona o vende bastones.;Persona que encabeza un desfile y durante la marcha mueve el bastón al ritmo de la música.;1;;
regalado;Persona que paga la cuenta por otros o que es fácilmente utilizada por alguien más.;Referido a una persona, que se ofrece aparentemente de manera desinteresada a hacer algo, pero que en realidad espera quedar bien u obtener algo. | Referido a un examen, sencillo, fácil de resolver.;1;;
avispón;Persona muy astuta y avispada, con rapidez mental para aprovechar oportunidades o salir adelante en situaciones prácticas.;avispado, despierto, vivo | dulce de maíz con miel, en forma de bola;1;;
tanganazo;Golpe fuerte dado con la mano en la jerga paisa colombiana.;golpe fuerte y repentino | trago grande de ron u otro licor, ingerido de una sola vez | Golpe muy fuerte que sufre una persona al caerse o chocarse contra algo.;1;;
quién quita;Expresión que expresa esperanza o posibilidad de que ocurra algo favorable en el futuro.;se usa para expresar cierta esperanza de que algo suceda;1;;
hijuemil;Expresión coloquial que denota una gran cantidad, equivalente a cientos o miles.;Mucho, gran cantidad de algo.;1;;
